run,iteration,n_annotations,top1_val,top5_val,unique_annotations,learning_rate
0,0,120,0.47,0.85,40,1e-05

0,1,130,0.445,0.835,40,1e-05

0,2,140,0.415,0.85,40,1e-05

0,3,150,0.495,0.86,40,1e-05

0,4,160,0.445,0.82,40,1e-05

0,5,170,0.375,0.82,40,1e-05

0,6,180,0.46,0.85,40,1e-05

0,7,190,0.495,0.84,40,1e-05

0,8,200,0.485,0.85,40,1e-05

0,9,210,0.47,0.87,40,1e-05

1,0,120,0.405,0.83,40,1e-05

1,1,130,0.46,0.845,40,1e-05

1,2,140,0.445,0.905,40,1e-05

1,3,150,0.395,0.855,40,1e-05

1,4,160,0.44,0.865,40,1e-05

1,5,170,0.485,0.875,40,1e-05

1,6,180,0.47,0.845,40,1e-05

1,7,190,0.5,0.845,40,1e-05

1,8,200,0.49,0.84,40,1e-05

1,9,210,0.415,0.82,40,1e-05

2,0,120,0.49,0.835,40,1e-05

2,1,130,0.425,0.83,40,1e-05

2,2,140,0.505,0.91,40,1e-05

2,3,150,0.425,0.82,40,1e-05

2,4,160,0.405,0.83,40,1e-05

2,5,170,0.465,0.865,40,1e-05

2,6,180,0.475,0.86,40,1e-05

2,7,190,0.39,0.82,40,1e-05

2,8,200,0.47,0.855,40,1e-05

2,9,210,0.485,0.855,40,1e-05

3,0,120,0.41,0.865,40,1e-05

3,1,130,0.415,0.82,40,1e-05

3,2,140,0.45,0.865,40,1e-05

3,3,150,0.44,0.85,40,1e-05

3,4,160,0.465,0.865,40,1e-05

3,5,170,0.395,0.78,40,1e-05

3,6,180,0.495,0.885,40,1e-05

3,7,190,0.455,0.845,40,1e-05

3,8,200,0.475,0.835,40,1e-05

3,9,210,0.415,0.835,40,1e-05

4,0,120,0.47,0.855,40,1e-05

4,1,130,0.355,0.83,40,1e-05

4,2,140,0.38,0.825,40,1e-05

4,3,150,0.465,0.88,40,1e-05

4,4,160,0.425,0.84,40,1e-05

4,5,170,0.4,0.8,40,1e-05

4,6,180,0.415,0.86,40,1e-05

4,7,190,0.455,0.825,40,1e-05

4,8,200,0.425,0.855,40,1e-05

4,9,210,0.475,0.875,40,1e-05

5,0,120,0.435,0.825,40,1e-05

5,1,130,0.45,0.87,40,1e-05

5,2,140,0.435,0.82,40,1e-05

5,3,150,0.39,0.865,40,1e-05

5,4,160,0.415,0.845,40,1e-05

5,5,170,0.45,0.815,40,1e-05

5,6,180,0.455,0.875,40,1e-05

5,7,190,0.49,0.865,40,1e-05

5,8,200,0.44,0.9,40,1e-05

5,9,210,0.505,0.865,40,1e-05

6,0,120,0.435,0.785,40,1e-05

6,1,130,0.425,0.835,40,1e-05

6,2,140,0.43,0.83,40,1e-05

6,3,150,0.41,0.885,40,1e-05

6,4,160,0.445,0.855,40,1e-05

6,5,170,0.44,0.84,40,1e-05

6,6,180,0.45,0.87,40,1e-05

6,7,190,0.475,0.88,40,1e-05

6,8,200,0.4,0.855,40,1e-05

6,9,210,0.445,0.845,40,1e-05

7,0,120,0.4,0.81,40,1e-05

7,1,130,0.435,0.865,40,1e-05

7,2,140,0.53,0.84,40,1e-05

7,3,150,0.445,0.845,40,1e-05

7,4,160,0.41,0.835,40,1e-05

7,5,170,0.445,0.86,40,1e-05

7,6,180,0.485,0.855,40,1e-05

7,7,190,0.465,0.9,40,1e-05

7,8,200,0.4,0.84,40,1e-05

7,9,210,0.5,0.875,40,1e-05

8,0,120,0.39,0.855,40,1e-05

8,1,130,0.335,0.78,40,1e-05

8,2,140,0.47,0.83,40,1e-05

8,3,150,0.515,0.865,40,1e-05

8,4,160,0.53,0.86,40,1e-05

8,5,170,0.425,0.885,40,1e-05

8,6,180,0.45,0.885,40,1e-05

8,7,190,0.455,0.88,40,1e-05

8,8,200,0.49,0.875,40,1e-05

8,9,210,0.47,0.835,40,1e-05

9,0,120,0.445,0.86,40,1e-05

9,1,130,0.365,0.87,40,1e-05

9,2,140,0.395,0.85,40,1e-05

9,3,150,0.42,0.85,40,1e-05

9,4,160,0.51,0.89,40,1e-05

9,5,170,0.44,0.84,40,1e-05

9,6,180,0.505,0.885,40,1e-05

9,7,190,0.465,0.835,40,1e-05

9,8,200,0.44,0.875,40,1e-05

9,9,210,0.42,0.855,40,1e-05

