run,iteration,n_annotations,top1_train,top5_train,top1_val,top5_val,unique_annotations,learning_rate,n_score_per_iteration

0,0,120,0.38667,0.82,0.44,0.885,40,1e-05,300

0,1,130,0.42333,0.83,0.41,0.815,40,1e-05,300

0,2,140,0.49333,0.86,0.48,0.88,40,1e-05,300

0,3,150,0.43,0.79667,0.475,0.85,40,1e-05,300

0,4,160,0.46333,0.85667,0.505,0.8,40,1e-05,300

0,5,170,0.47,0.82333,0.435,0.84,40,1e-05,300

0,6,180,0.47,0.83,0.45,0.86,40,1e-05,300

0,7,190,0.46333,0.87,0.45,0.905,40,1e-05,300

0,8,200,0.44,0.83,0.42,0.85,40,1e-05,300

0,9,210,0.45333,0.87667,0.405,0.83,40,1e-05,300

1,0,120,0.43,0.85,0.465,0.885,40,1e-05,300

1,1,130,0.5,0.85333,0.46,0.845,40,1e-05,300

1,2,140,0.48333,0.85,0.5,0.845,40,1e-05,300

1,3,150,0.46,0.83333,0.45,0.895,40,1e-05,300

1,4,160,0.48667,0.86667,0.525,0.855,40,1e-05,300

1,5,170,0.44,0.81,0.385,0.81,40,1e-05,300

1,6,180,0.49667,0.85333,0.575,0.88,40,1e-05,300

1,7,190,0.51333,0.89,0.465,0.875,40,1e-05,300

1,8,200,0.51667,0.85,0.495,0.89,40,1e-05,300

1,9,210,0.49,0.86,0.51,0.91,40,1e-05,300

2,0,120,0.39667,0.81333,0.415,0.81,40,1e-05,300

2,1,130,0.45,0.84333,0.4,0.88,40,1e-05,300

2,2,140,0.38667,0.80333,0.435,0.805,40,1e-05,300

2,3,150,0.47667,0.83333,0.455,0.84,40,1e-05,300

2,4,160,0.49667,0.85667,0.48,0.855,40,1e-05,300

2,5,170,0.46667,0.85,0.465,0.875,40,1e-05,300

2,6,180,0.44333,0.83667,0.48,0.885,40,1e-05,300

2,7,190,0.55,0.88,0.465,0.875,40,1e-05,300

2,8,200,0.47,0.84333,0.51,0.9,40,1e-05,300

2,9,210,0.51333,0.86667,0.535,0.91,40,1e-05,300

3,0,120,0.41667,0.82,0.435,0.83,40,1e-05,300

3,1,130,0.41667,0.84,0.41,0.825,40,1e-05,300

3,2,140,0.39667,0.84,0.465,0.865,40,1e-05,300

3,3,150,0.35667,0.84,0.42,0.81,40,1e-05,300

3,4,160,0.41667,0.86333,0.43,0.83,40,1e-05,300

